spot,location,spectra,mineralogy,C_concentration,O_concentration,Mg_concentration,Si_concentration,S_concentration,Mn_concentration,Co_concentration,Ni_concentration,Zn_concentration,Ag_concentration,Al_concentration,Ca_concentration,Na_concentration,K_concentration,Ti_concentration,Fe_concentration,In_concentration,W_concentration,Ir_concentration,Cr_concentration,U_concentration,Sr_concentration,La_concentration,Nd_concentration,Pr_concentration,P_concentration,N_concentration,Zr_concentration,Yb_concentration,I_concentration,Br_concentration,Ta_concentration,Cl_concentration,Te_concentration,F_concentration,Ar_concentration,C_wtper,O_wtper,Mg_wtper,Si_wtper,S_wtper,Mn_wtper,Co_wtper,Ni_wtper,Zn_wtper,Ag_wtper,Al_wtper,Ca_wtper,Na_wtper,K_wtper,Ti_wtper,Fe_wtper,In_wtper,W_wtper,Ir_wtper,Cr_wtper,U_wtper,Sr_wtper,La_wtper,Nd_wtper,Pr_wtper,P_wtper,N_wtper,Zr_wtper,Yb_wtper,I_wtper,Br_wtper,Ta_wtper,Cl_wtper,Te_wtper,F_wtper,Ar_wtper
9,18,64,dark_seds,8.68,13.06,0.25,2.88,3.03,0,0,0,0,0,3.71,0.73,0.07,0.42,0,0.5,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,51.71,30.77,0.38,4.24,4.64,0.01,0,0,0,0,5.33,1.1,0.09,0.62,0,0.92,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
9,18,65,dark_seds,7.74,17.39,0.66,10.18,1.76,0.02,0.01,0,0.01,0.22,5.21,0.51,0.13,0.76,0,0.91,0.48,0,0,0,0,0,0,0,0,0,0,1.24,0,0,0,0,0,0,0,0,43.71,30.15,0.76,11.54,2.19,0.02,0.02,0,0.03,0.34,5.74,0.59,0.13,0.87,0,1.28,0.68,0,0,0,0,0,0,0,0,0,0,1.97,0,0,0,0,0,0,0,0
9,19,66,co3_seds,2.66,2.28,0.08,2,3,0,0.01,0.02,0.01,0.07,1.47,0.93,0.04,0.36,0,0.37,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,54.45,15.58,0.28,6.75,10.83,0.01,0.04,0.07,0.08,0.34,4.81,3.34,0.11,1.26,0,1.59,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0
9,19,67,co3_seds,10.98,32.19,0.48,9.63,1.28,0.02,0.02,0,0.01,0.25,6.39,0.69,0.2,0.78,0.08,1.26,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.96,39.1,0.45,8.79,1.23,0.02,0.03,0,0.02,0.3,5.71,0.63,0.16,0.7,0.09,1.41,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,19,68,co3_seds,0.41,1.98,0.13,4.11,1.09,0,0.05,0.04,0,0,2.82,0.53,0,0.78,0.18,0.79,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.09,17.17,0.71,23.34,6.98,0,0.34,0.29,0.05,0,14.37,3.03,0,4.36,1.23,5.22,0,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,20,69,mz84_seds,2.8,7.95,0.12,0.11,0.08,0,0.01,0,0.01,0,0.13,23.66,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,13.81,37.84,0.28,0.22,0.17,0.01,0.03,0,0.04,0,0.28,45.89,0,0,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0
9,20,70,mz84_seds,6.2,20.94,0.17,0.12,0.07,0,0.01,0,0.01,0,0.1,23.66,0.06,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.59,0,0,0,0,0,0,18.96,48.2,0.26,0.16,0.09,0,0.02,0,0.04,0,0.14,29.7,0.08,0,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.03,0,0,0,0,0,0
9,20,71,mz84_seds,6.68,29.83,0.15,0.73,0.28,0.02,0.01,0,0.02,0.32,0.66,21.83,0.14,0.14,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.72,0,0,0,0,0,0,18.92,52.06,0.19,0.82,0.31,0.03,0.02,0,0.06,0.44,0.79,23.71,0.17,0.14,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0.11,1.09,0,0,0,0,0,0
9,21,72,mz84_seds,15.68,24.2,2.01,5.52,2.02,0,0.01,0.01,0.09,0.27,4.68,2.63,0,0.7,0.06,0.78,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.12,33.47,1.86,4.96,1.89,0,0.01,0.01,0.17,0.32,4.18,2.39,0,0.62,0.07,0.87,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,21,73,mz84_seds,5.39,32.29,0.56,11.92,0.56,0,0.03,0,0.02,0,7.8,1.88,0.21,0.87,0.15,1.05,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.44,42.42,0.62,13.05,0.65,0,0.05,0,0.05,0,8.18,2.02,0.2,0.92,0.19,1.37,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
