spot,location,spectra,mineralogy,C_concentration_apparent,O_concentration_apparent,Na_concentration_apparent,Mg_concentration_apparent,Al_concentration_apparent,Si_concentration_apparent,S_concentration_apparent,K_concentration_apparent,Ca_concentration_apparent,Fe_concentration_apparent,Ag_concentration_apparent,P_concentration_apparent,Ti_concentration_apparent,F_concentration_apparent,Cl_concentration_apparent,Zr_concentration_apparent,Ar_concentration_apparent,Y_concentration_apparent,Mn_concentration_apparent,Th_concentration_apparent,Zn_concentration_apparent,C_wtper,O_wtper,Na_wtper,Mg_wtper,Al_wtper,Si_wtper,S_wtper,K_wtper,Ca_wtper,Fe_wtper,Ag_wtper,P_wtper,Ti_wtper,F_wtper,Cl_wtper,Zr_wtper,Ar_wtper,Y_wtper,Mn_wtper,Th_wtper,Zn_wtper
10,point,415,rock,0.8,10.97,0.04,0.1,5.09,4.54,0.24,0.21,0.15,0.37,0.49,0,0,0,0.03,0,0,0,0,0,0,13.03,34.56,0.1,0.41,21.76,21.32,1.27,1.02,0.75,2.25,3.33,0,0,0,0.19,0,0,0,0,0,0
10,point,416,mz84_seds,0.33,9.99,0.03,0.18,2.11,8.16,0.08,0.42,0.08,0.49,0,0,0,0,0,0,0,0,0,0,0,6.68,34.41,0.08,0.83,9.99,41.37,0.46,2.34,0.46,3.37,0,0,0,0,0,0,0,0,0,0,0
10,point,417,mz84_seds,0.35,9.18,0.07,0.18,4.05,4.71,0.16,0.84,0.17,0.48,0,0,0.17,0,0,0,0,0,0,0,0,7.02,34.07,0.25,0.86,20.34,25.93,0.96,4.9,1.03,3.45,0,0,1.19,0,0,0,0,0,0,0,0
10,point,418,mz84_seds,2.42,1.92,0.02,0.08,1.32,1.75,1.38,0.23,0.35,0.23,0.04,0,0.04,0,0,0,0,0,0,0,0,50.75,10.98,0.09,0.49,8.3,11.74,10.35,1.68,2.65,2.16,0.45,0,0.37,0,0,0,0,0,0,0,0
10,point,419,rock,0.13,0.75,0,0.06,1.82,3.43,0.19,0.76,0.35,0.49,0,0,0.06,0,0,0,0,0,0,0,0,6.96,7.25,0,0.66,19.47,40.45,2.59,9.56,4.53,7.6,0,0,0.95,0,0,0,0,0,0,0,0
10,point,420,rock,0,15.42,0,0.25,4.56,6.23,0.16,0.65,0.19,0.6,0.07,0,0.06,0,0.03,0,0,0.11,0,0,0,0,42.97,0,0.98,18.54,27.58,0.8,3.06,0.93,3.47,0.46,0,0.35,0,0.15,0,0,0.73,0,0,0
10,point,421,rock,1.1,6.29,0.04,0.11,2.32,3.36,2.64,0.36,0.14,2.43,0,0,0.1,0,0,0,0,0,0,0,0,19.91,21.55,0.11,0.46,10.31,15.77,13.69,1.8,0.74,15.05,0,0,0.61,0,0,0,0,0,0,0,0
10,point,422,rock,0.67,11.42,0.07,0.39,3.92,5.41,0.15,0.67,0.16,0.84,0,0,0.06,0,0,0,0,0,0,0,0,10.89,35.1,0.19,1.59,16.78,25.05,0.79,3.28,0.83,5.13,0,0,0.37,0,0,0,0,0,0,0,0
10,point,423,rock,6.11,2.2,0,0.04,0.02,0.01,0.64,0,0.45,0.05,0,0,0.07,0,0.03,0,0,0,0,0,0,77.27,12.87,0,0.25,0.15,0.1,4.69,0,3.38,0.45,0,0,0.64,0,0.2,0,0,0,0,0,0
10,point,424,rock,0.28,4.22,0,0.16,2.9,3.95,0.2,0.75,0.27,0.58,0,0,0.06,0,0,0,0,0,0,0,0,8.53,23.38,0,1.05,20.28,30.31,1.76,6.09,2.27,5.77,0,0,0.57,0,0,0,0,0,0,0,0
