spot,location,spectra,mineralogy,C_concentration_apparent,O_concentration_apparent,Na_concentration_apparent,Mg_concentration_apparent,Al_concentration_apparent,Si_concentration_apparent,P_concentration_apparent,S_concentration_apparent,K_concentration_apparent,Ca_concentration_apparent,Ti_concentration_apparent,Fe_concentration_apparent,Ag_concentration_apparent,Zr_concentration_apparent,W_concentration_apparent,Mo_concentration_apparent,Mn_concentration_apparent,Ar_concentration_apparent,Ba_concentration_apparent,Cl_concentration_apparent,U_concentration_apparent,F_concentration_apparent,Total:_concentration_apparent,C_wtper,O_wtper,Na_wtper,Mg_wtper,Al_wtper,Si_wtper,P_wtper,S_wtper,K_wtper,Ca_wtper,Ti_wtper,Fe_wtper,Ag_wtper,Zr_wtper,W_wtper,Mo_wtper,Mn_wtper,Ar_wtper,Ba_wtper,Cl_wtper,U_wtper,F_wtper,Total:_wtper
15,point,113,rock,2.15,33.69,0.08,0.81,8.18,13.35,0,0.72,2.51,0.42,0.15,1.62,0,0,0,0,0,0,0,0,0,0,0,18.95,47.71,0.09,1,9.43,16.02,0,0.95,2.91,0.5,0.22,2.23,0,0,0,0,0,0,0,0,0,0,0
15,point,114,rock,0.03,0.28,0,0,0.11,0.15,0,0,0.12,0.04,0.02,0.85,0,0,0,0,0,0,0,0,0,0,0,10.4,16.82,0,0.35,6.78,8.63,0,0.13,5.65,1.9,1.05,47.95,0,0,0,0.34,0,0,0,0,0,0,0
15,point,115,rock,18.86,5.87,0.11,0.14,2.03,2.73,0.18,3.3,0.3,0.81,0.09,0.24,0.12,0,0,0,0,0,0,0,0,0,0,73.72,15.34,0.1,0.15,2.11,2.83,0.13,3.75,0.33,0.91,0.13,0.32,0.18,0,0,0,0,0,0,0,0,0,0
15,point,116,rock,8.41,8.31,0.07,0.38,1.92,3.86,0,3.42,0.77,0.65,0.03,1.1,0.05,0,0,0,0.04,0,0,0,0,0,0,58.15,23.97,0.09,0.55,2.66,5.3,0,5.12,1.09,0.94,0.06,1.91,0.09,0,0,0,0.07,0,0,0,0,0,0
15,point,117,rock,3.15,21.84,0.15,0.34,4.29,15.8,0,0.76,0.95,0.92,0.05,1.03,0.09,0,0,0,0,0,0,0,0,0,0,29.54,39.75,0.17,0.45,5.24,19.6,0,1.09,1.2,1.17,0.08,1.56,0.15,0,0,0,0,0,0,0,0,0,0
15,point,118,rock,0.73,12.82,0,0,0.16,0.49,0,13.21,0.07,0.4,0,25.65,0,0,0,0,0,0,0,0,0,0,0,11.73,22.45,0,0,0.29,0.8,0,20.73,0.1,0.58,0,43.31,0,0,0,0,0,0,0,0,0,0,0
15,point,119,rock,2.94,41.32,0,0.85,10.63,11.08,0,1.28,0.98,0.48,0.08,2.66,0.07,0,0,0,0,0,0,0,0,0,0,21.18,48.88,0,0.93,10.83,11.85,0,1.46,0.98,0.49,0.09,3.22,0.09,0,0,0,0,0,0,0,0,0,0
15,point,120,rock,1.46,23.67,0,0,2.63,4.39,0,7.03,0.61,0.53,0,17.98,0.05,0,0,0,0,0,0,0,0,0,0,16.01,35.18,0,0,3.91,6.15,0,9.96,0.79,0.69,0,27.22,0.09,0,0,0,0,0,0,0,0,0,0
15,point,121,rock,0.43,6.35,0,0,0.31,0.45,0,23.54,0.1,0.07,0,21.44,0,0,0,0,0,0,0,0,0,0,0,10.32,13.96,0,0,0.55,0.72,0,36.99,0.15,0.1,0,37.21,0,0,0,0,0,0,0,0,0,0,0
15,point,122,rock,10.55,13.42,0.13,0.19,3.15,3.91,0,3.26,0.46,0.63,0.04,1.02,0.05,0,0,0,0,0,0,0,0,0,0,55.45,29.32,0.13,0.23,3.58,4.44,0,3.99,0.53,0.74,0.05,1.46,0.08,0,0,0,0,0,0,0,0,0,0
15,point,123,rock,2.19,32.96,0.09,0.91,8.38,12.58,0,0.51,1.47,0.66,0.13,2.84,0.07,0,0,0,0,0,0,0,0,0,0,19.39,46.53,0.1,1.15,9.9,15.48,0,0.68,1.72,0.78,0.19,3.97,0.11,0,0,0,0,0,0,0,0,0,0
15,point,124,rock,1.43,12.37,0.07,0.5,4.92,7.63,0.29,0.8,1.56,0.99,0.11,2.69,0.05,0,0,0,0,0,0,0,0,0,0,23.03,35.72,0.13,1.06,9.87,15.94,0.45,1.83,3.13,2.02,0.26,6.41,0.14,0,0,0,0,0,0,0,0,0,0
15,point,125,rock,7.63,13.03,0.18,0.23,3.37,4.73,0.17,2.94,0.68,0.6,0.05,0.69,0.05,0,0,0,0,0,0,0,0,0,0,50.9,31,0.2,0.31,4.3,6.08,0.15,4.1,0.88,0.79,0.08,1.11,0.09,0,0,0,0,0,0,0,0,0,0
15,point,126,rock,1.2,9.8,0.04,0.16,3.28,4.54,0,0.31,0.88,0.28,0.07,1.36,0.08,0,0,0,0,0,0,0,0,0,0,25.58,40.08,0.1,0.53,9.74,14.07,0,1.05,2.61,0.85,0.25,4.83,0.33,0,0,0,0,0,0,0,0,0,0
15,point,127,rock,0.58,10.03,0.06,1.63,2.9,4.14,0,0.26,0.38,0.17,0.05,7.17,0.05,0,0,0,0.07,0,0,0,0,0,0,13.73,31.27,0.18,5.62,9.42,13.3,0,0.84,1.05,0.48,0.16,23.53,0.19,0,0,0,0.24,0,0,0,0,0,0
