spot,location,spectra,mineralogy,C_concentration_apparent,O_concentration_apparent,Na_concentration_apparent,Mg_concentration_apparent,Al_concentration_apparent,Si_concentration_apparent,P_concentration_apparent,S_concentration_apparent,K_concentration_apparent,Ca_concentration_apparent,Ti_concentration_apparent,Fe_concentration_apparent,Ag_concentration_apparent,Zr_concentration_apparent,W_concentration_apparent,Mo_concentration_apparent,Mn_concentration_apparent,Ar_concentration_apparent,Ba_concentration_apparent,Cl_concentration_apparent,U_concentration_apparent,F_concentration_apparent,Total:_concentration_apparent,C_wtper,O_wtper,Na_wtper,Mg_wtper,Al_wtper,Si_wtper,P_wtper,S_wtper,K_wtper,Ca_wtper,Ti_wtper,Fe_wtper,Ag_wtper,Zr_wtper,W_wtper,Mo_wtper,Mn_wtper,Ar_wtper,Ba_wtper,Cl_wtper,U_wtper,F_wtper,Total:_wtper
15,point,175,rock,14.6,6.89,0.05,0.07,0.18,0.22,0.06,3.73,0.07,1.67,0,0.24,0,0,0,0,0,0,0,0,0,0,0,69.18,21.87,0.07,0.1,0.24,0.29,0.06,5.31,0.1,2.37,0,0.41,0,0,0,0,0,0,0,0,0,0,0
15,point,176,mz84_seds,10.78,6.27,0.14,0.12,0.87,1.58,0,3.6,0.22,0.89,0.03,0.37,0.04,0.3,0,0,0,0,0,0,0,0,0,66.42,20.98,0.18,0.18,1.27,2.26,0,5.6,0.34,1.36,0.05,0.69,0.09,0.58,0,0,0,0,0,0,0,0,0
15,point,177,mz84_seds,12.17,6.2,0,0,0.76,0.32,0,7.14,0.06,0.4,0,5.62,0,0.36,0,0,0,0,0,0,0,0,0,66,15.4,0,0,0.87,0.35,0,8.41,0.07,0.47,0,7.9,0,0.52,0,0,0,0,0,0,0,0,0
15,point,178,rock,1.57,16.66,0.08,0.81,6.91,10.39,0,0.29,1.71,0.48,0.09,2.08,0,0,0,0,0,0,0,0,0,0,0,21.89,38.15,0.12,1.42,11.47,18.34,0,0.56,2.88,0.82,0.18,4.17,0,0,0,0,0,0,0,0,0,0,0
15,point,179,rock,11.58,21,0.09,0.41,6.41,6.91,0,2.02,0.89,0.28,0.14,0.59,0.17,0,0,0,0,0,0,0,0,0,0,49.92,33.45,0.08,0.39,5.75,6.32,0,1.99,0.82,0.26,0.15,0.66,0.21,0,0,0,0,0,0,0,0,0,0
15,point,180,rock,14.15,7.06,0.03,0.12,1.47,3.03,0,0.73,0.32,0.2,0.04,0.2,2.96,0,0,0,0,0,0,0.06,0,0,0,63.76,21.89,0.04,0.18,2.05,4.16,0,1.08,0.45,0.3,0.07,0.35,5.58,0,0,0,0,0,0,0.09,0,0,0
15,point,181,rock,13.1,26.61,0.2,0.45,5.67,8.02,0,1.85,1.04,0.5,0.09,0.97,0.07,0,0,0,0,0,0,0,0,0,0,48.22,36.21,0.15,0.38,4.56,6.49,0,1.61,0.84,0.41,0.08,0.96,0.08,0,0,0,0,0,0,0,0,0,0
15,point,182,rock,7.04,30.45,0.14,0.7,6.91,10.88,0.2,1.27,1.54,0.96,0.07,1.37,0,0,0,0,0,0,0,0,0,0,0,36.42,41.18,0.11,0.67,6.27,10.05,0.14,1.28,1.41,0.89,0.08,1.51,0,0,0,0,0,0,0,0,0,0,0
15,point,183,NA,17.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,point,183,mz84_seds,0,4.26,0.2,0.07,0.43,0.69,0,4.48,0.2,0.58,0,0.56,0,0.34,0,0,0,0,0,0,0,0,0,0,13.04,0.2,0.09,0.5,0.8,0,5.64,0.25,0.72,0,0.86,0,0.52,0,0,0,0,0,0,0,0,0
15,point,184,mz84_seds,12.76,5.28,0.1,0.1,0.96,2.55,0,3.16,0.26,0.77,0,0.27,0.06,0.39,0,0,0,0,0,0,0,0,0,70.47,17.26,0.11,0.14,1.28,3.37,0,4.62,0.36,1.11,0,0.47,0.11,0.7,0,0,0,0,0,0,0,0,0
15,point,185,mz84_seds,27.51,10.56,0.04,0.08,1.25,1.98,0,0.25,0.32,0.07,0.04,0.11,0.34,0,0,0,0,0,0,0.07,0,0,0,71.43,23.79,0.04,0.09,1.27,1.98,0,0.27,0.33,0.07,0.05,0.14,0.47,0,0,0,0,0,0,0.08,0,0,0
15,point,186,mz84_seds,2.25,46.74,0,0,13.55,12.57,0,0.19,0.22,0.15,0,0.22,0.12,0,0,0,0,0,0,0,0,0,0,17.88,53.04,0,0,13.92,14.09,0,0.23,0.23,0.16,0,0.27,0.17,0,0,0,0,0,0,0,0,0,0
15,point,187,mz84_seds,1.55,4.89,0.03,0.1,0.97,12.12,0,1.01,0.18,0.51,0,0.25,0.06,0,0,0,0,0,0,0.05,0,0,0,38.49,23.39,0.07,0.25,2.34,29.38,0,3.08,0.48,1.36,0,0.78,0.22,0,0,0,0,0,0,0.15,0,0,0
15,point,188,mz84_seds,17.89,13.15,0.05,0.13,3.25,3.97,0,0.85,0.26,0.59,0,0.34,0.12,0.69,0,0,0,0,0,0.07,0,0,0,62.75,26.67,0.04,0.14,3.18,3.89,0,0.91,0.26,0.6,0,0.42,0.16,0.9,0,0,0,0,0,0.07,0,0,0
15,point,189,mz84_seds,4.57,7.05,0.08,0.34,4.06,6.98,0.12,1.74,0.92,0.65,0.07,0.64,0.09,0,0,0,0,0,0,0,0,0,0,49.62,23.45,0.11,0.59,6.61,11.79,0.15,3.28,1.58,1.14,0.14,1.33,0.21,0,0,0,0,0,0,0,0,0,0
15,point,190,mz84_seds,14.55,6.79,0.08,0.1,0.38,0.6,2.05,1.35,0.06,4.11,0.09,0.08,0.14,0,0,0,0,0,0,0,0,0.29,0,64.91,22.51,0.1,0.15,0.53,0.82,1.93,2,0.08,5.94,0.15,0.15,0.26,0,0,0,0,0,0,0,0,0.46,0
15,point,191,mz84_seds,18.05,6.6,0.12,0.06,0.15,0.22,0.18,4.57,0.05,0.74,0,0.1,0.11,0,0,0,0,0,0,0,0,0,0,73.64,18.7,0.13,0.07,0.17,0.25,0.14,5.61,0.06,0.91,0,0.15,0.17,0,0,0,0,0,0,0,0,0,0
15,point,192,mz84_seds,27.23,13.77,0.12,0.18,2.66,3.45,0,2.93,0.35,0.48,0.08,0.31,0.31,0,0,0,0,0,0,0,0,0,0,68.47,23.03,0.08,0.14,2,2.57,0,2.37,0.27,0.38,0.07,0.3,0.32,0,0,0,0,0,0,0,0,0,0
15,point,193,mz84_seds,17.14,10.38,0.08,0.27,2.06,2.5,0.25,2.93,0.3,1.09,1.21,0.76,0.13,0,0,0,0,0,0,0,0,0,0,64.24,23.32,0.07,0.29,2.09,2.51,0.17,3.16,0.31,1.14,1.54,0.98,0.17,0,0,0,0,0,0,0,0,0,0
15,point,194,rock,14.28,5.78,0.09,0.07,0.19,0.11,1.22,3.55,0.04,2.63,0,0.18,0.09,0,0,0,0,0,0,0,0,0.46,0,69.4,18.97,0.11,0.09,0.25,0.14,1.1,5.03,0.05,3.71,0,0.3,0.17,0,0,0,0,0,0,0,0,0.68,0
15,point,195,rock,13.7,5.18,0.07,0.05,0.03,0.04,0.06,4.57,0.03,0.4,0,0.12,0.05,0,0,0,0,0,0,0,0,0,0,73.81,18.05,0.08,0.08,0.05,0.06,0.05,6.86,0.05,0.61,0,0.22,0.1,0,0,0,0,0,0,0,0,0,0
15,point,196,rock,0.25,0.44,0,0.01,0.43,1.14,0,0.07,0.83,0.21,0.15,1.62,0,0,0,0,0,0,0,0,0,0,0,25.46,10.88,0,0.18,6.07,15.85,0,0.98,10.68,2.76,2.34,24.79,0,0,0,0,0,0,0,0,0,0,0
15,point,197,rock,13.84,5.43,0.07,0.07,0.52,0.7,0.09,3.23,0.1,0.74,0,0.21,0.11,0,0,0,0,0,0,0,0,0,0,72.05,19.02,0.09,0.1,0.76,0.99,0.09,5,0.15,1.13,0,0.39,0.22,0,0,0,0,0,0,0,0,0,0
15,point,198,rock,20.3,15.7,0.07,0.14,2.9,5.05,0,2.22,0.39,0.4,0.07,0.48,0.07,0,0,0,0,0,0,0,0,0,0,62.78,27.05,0.05,0.13,2.43,4.2,0,2.01,0.34,0.35,0.07,0.51,0.08,0,0,0,0,0,0,0,0,0,0
15,point,199,rock,9.77,13.58,0.07,0.28,4.07,7.26,0.28,1.65,1,1.06,0.07,1.13,0,0,0,0,0,0,0,0,0,0,0,52.65,28.43,0.07,0.32,4.42,7.95,0.22,1.99,1.11,1.2,0.1,1.55,0,0,0,0,0,0,0,0,0,0,0
15,point,200,rock,1.14,1.24,0.04,0.05,1.66,0.55,0.24,3.41,0.12,0.87,0,0.31,0.05,0,0,0,0,0,0,0,0,0,0,50.43,13.82,0.18,0.26,7.58,2.63,0.77,17.27,0.58,4.34,0,1.81,0.34,0,0,0,0,0,0,0,0,0,0
15,point,201,rock,4.77,33.89,0.04,0.13,1.7,23.36,0,0.55,0.27,0.46,0,0.23,0,0,0,0,0,0,0,0,0,0,0,31.37,44.24,0.04,0.12,1.57,21.11,0,0.59,0.25,0.45,0,0.27,0,0,0,0,0,0,0,0,0,0,0
15,point,202,rock,0.79,16.28,0,0.39,7.47,10.93,0,0.19,1.4,0.56,0.17,1.45,0.06,0,0,0,0,0,0,0,0,0,0,14.51,40.36,0,0.77,13.94,22.28,0,0.44,2.73,1.09,0.39,3.32,0.16,0,0,0,0,0,0,0,0,0,0
15,point,203,NA,4.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,point,203,mz84_seds,0,19.21,0,0.73,5.76,8,0,0.78,0.83,0.26,0.09,1.63,0.06,0,0,0,0,0,0,0,0,0,0,0,37.62,0,1,7.42,10.6,0,1.11,1.08,0.34,0.14,2.56,0.11,0,0,0,0,0,0,0,0,0,0
15,point,204,mz84_seds,11.18,4.47,0.11,0.05,0.18,0.13,0,4.09,0.04,0.36,0,0.14,0,0,0,0,0,0,0,0,0,0,0,73.05,18.04,0.15,0.08,0.3,0.21,0,7.15,0.08,0.64,0,0.3,0,0,0,0,0,0,0,0,0,0,0
15,point,205,mz84_seds,10.83,3.15,0.08,0.04,0.07,0.09,0,4.14,0.06,0.44,0,0.14,0.05,0,0,0,0,0,0,0,0,0,0,76.19,14.28,0.13,0.07,0.12,0.16,0,7.68,0.1,0.82,0,0.32,0.12,0,0,0,0,0,0,0,0,0,0
15,point,206,mz84_seds,11.38,5.37,0.09,0.12,0.79,1.28,0,4.19,0.22,0.52,0,0.42,0,0,0,0,0,0,0,0,0,0,0,69.91,18.45,0.12,0.19,1.14,1.82,0,6.46,0.32,0.8,0,0.78,0,0,0,0,0,0,0,0,0,0,0
15,point,207,rock,6.03,8.85,0.08,0.28,4.17,6.71,0,1.45,1.01,0.67,0.08,0.89,0.06,0,0,0,0,0,0,0,0,0,0,50.91,25.55,0.1,0.43,6.07,10.05,0,2.39,1.53,1.03,0.15,1.64,0.12,0,0,0,0,0,0,0,0,0,0
15,point,208,rock,1.89,9.18,0.07,0.36,3.92,6.2,0,0.82,0.81,6.2,0.36,1.03,0,0.48,0,0,0,0,0,0,0,0,0,25.17,33.67,0.12,0.76,7.67,12.4,0,1.8,1.55,12.23,0.86,2.42,0,1.34,0,0,0,0,0,0,0,0,0
15,point,209,rock,2.5,22.06,0.16,0.57,9.36,12.65,0,0.61,1.7,0.41,0.23,1.34,0.07,0,0,0,0,0,0,0,0,0,0,25.28,39.22,0.18,0.75,11.61,16.83,0,0.89,2.18,0.53,0.36,2.06,0.13,0,0,0,0,0,0,0,0,0,0
15,point,210,rock,1.04,21.94,0.06,0.31,7.54,11.47,0,0.16,1.23,0.36,0.12,1.17,0.07,0,0,0,0,0,0,0,0,0,0,15.59,45.11,0.09,0.55,12.46,20.4,0,0.31,2.11,0.62,0.25,2.35,0.15,0,0,0,0,0,0,0,0,0,0
15,point,211,mz84_seds,13.51,5.84,0.14,0.1,0.67,0.99,0,4.06,0.15,0.41,0.13,0.17,0.13,0,0,0,0,0,0,0,0,0,0,71.16,18.91,0.17,0.14,0.9,1.31,0,5.85,0.21,0.59,0.23,0.3,0.24,0,0,0,0,0,0,0,0,0,0
15,point,212,mz84_seds,15.1,6.21,0.12,0.07,0.23,0.23,0,5.14,0.06,0.39,0,0.17,0.11,0,0,0,0,0,0,0,0,0,0,72.65,18.73,0.13,0.09,0.29,0.28,0,6.77,0.08,0.51,0,0.28,0.2,0,0,0,0,0,0,0,0,0,0
15,point,213,mz84_seds,10.79,4.26,0.08,0.05,0.16,0.2,0,3.69,0.06,1.01,0,0.23,0.08,0,0,0,0,0,0,0,0,0,NA,71.71,18.06,0.13,0.1,0.28,0.33,0,6.71,0.11,1.85,0,0.52,0.2,0,0,0,0,0,0,0,0,0,100
